iter	Passed	Remaining
200	154333	613495
201	155174	613015
202	155989	612433
203	156770	611711
204	157549	610983
205	158342	610308
206	159111	609542
207	159890	608813
208	160664	608063
209	161429	607280
210	162189	606479
211	163010	605908
212	163782	605149
213	164590	604525
214	165441	604054
215	166270	603501
216	167089	602909
217	168134	603123
218	168921	602410
219	169690	601630
220	170459	600851
221	171245	600132
222	172022	599377
223	172811	598667
224	173581	597890
225	174640	598103
226	175434	597403
227	176267	596835
228	177108	596290
229	177970	595815
230	178815	595276
231	179650	594704
232	180542	594317
233	181415	593865
234	182240	593250
235	183099	592746
236	183940	592180
237	184819	591732
238	185625	591050
239	186423	590341
240	187191	589538
241	187964	588748
242	188769	588058
243	189553	587304
244	190335	586542
245	191136	585841
246	191938	585139
247	192734	584420
248	193534	583711
249	194332	582997
250	195175	582414
251	195956	581648
252	196728	580854
253	197555	580221
254	198323	579416
255	199116	578680
256	199888	577887
257	200683	577160
258	201556	576652
259	202472	576267
260	203316	575675
261	204100	574909
262	204937	574293
263	205741	573581
264	206533	572839
265	207306	572041
266	208123	571364
267	208893	570559
268	209715	569896
269	210490	569102
270	211310	568433
271	212085	567640
272	212892	566932
273	213661	566124
274	214458	565390
275	215241	564619
276	216069	563963
277	216860	563213
278	217655	562472
279	218442	561708
280	219210	560897
281	220009	560165
282	220806	559429
283	221590	558656
284	222373	557885
285	223140	557071
286	223936	556330
287	224761	555659
288	225602	555029
289	226479	554485
290	227312	553830
291	228168	553229
292	229003	552579
293	229861	551979
294	230733	551413
295	231566	550752
296	232408	550110
297	233234	549432
298	234002	548614
299	234826	547928
300	235833	547666
301	236609	546866
302	237404	546108
303	238195	545342
304	238992	544589
305	239762	543774
306	240573	543052
307	241429	542433
308	242224	541673
309	243040	540961
310	243814	540155
311	244619	539418
312	245389	538602
313	246175	537822
314	246958	537036
315	247731	536228
316	248497	535406
317	249291	534645
318	250056	533819
319	250844	533045
320	251615	532233
321	252414	531481
322	253209	530720
323	253980	529908
324	254782	529163
325	255593	528436
326	256401	527700
327	257177	526900
328	257966	526126
329	258746	525333
330	259515	524520
331	260314	523765
332	261099	522982
333	261869	522171
334	262654	521389
335	263434	520595
336	264244	519864
337	265074	519169
338	265906	518479
339	266691	517695
340	267455	516871
341	268242	516092
342	269016	515289
343	270064	515006
344	270833	514190
345	271671	513506
346	272452	512713
347	273252	511955
348	274035	511166
349	274852	510440
350	275637	509654
351	276410	508846
352	277210	508088
353	278001	507313
354	278849	506642
355	279638	505863
356	280411	505054
357	281188	504255
358	281980	503480
359	282746	502660
360	283516	501848
361	284330	501112
362	285134	500360
363	285915	499566
364	286710	498797
365	287477	497979
366	288264	497197
367	289045	496404
368	289833	495623
369	290632	494861
370	291415	494070
371	292194	493275
372	293021	492559
373	293782	491731
374	294848	491413
375	295646	490646
376	296478	489936
377	297302	489212
378	298175	488567
379	299042	487910
380	299869	487188
381	300714	486496
382	301589	485851
383	302437	485159
384	303545	484883
385	304436	484258
386	305280	483557
387	306107	482829
388	306899	482044
389	307664	481219
390	308471	480458
391	309265	479677
392	310076	478921
393	310847	478105
394	311613	477282
395	312395	476482
396	313195	475710
397	314058	475033
